#               step               time           E_Zeeman            E_total                m_x                m_y                m_z            m_error            skx_num 
#                 <>                <s>                <J>                <J>                 <>                 <>                 <>                 <>                 <> 
                   0                  0                 -0                  0                  1                  0                  0                  0                  0 
                   1              1e-12     -883.976973849     -883.976973849     0.999804647565    0.0176783881919   0.00883976973849  1.15017995128e-10                  0 
                   2              2e-12     -1767.81580829     -1767.81580829     0.999218727527    0.0353471072913    0.0176781580829  3.54212881248e-10                  0 
                   3              3e-12     -2651.37844977     -2651.37844977     0.998242651691    0.0529964969255    0.0265137844977  5.55071322239e-10                  0 
                   4              4e-12     -3534.52701674     -3534.52701674     0.996877105859    0.0706169141516    0.0353452701674  4.36407798787e-10                  0 
                   5              5e-12     -4417.12388703     -4417.12388703     0.995123049783    0.0881987422692    0.0441712388703  3.45488970765e-10                  0 
                   6              6e-12     -5299.03178256     -5299.03178256     0.992981715079     0.105732399388    0.0529903178256  2.72164069059e-10                  0 
                   7              7e-12     -6180.11385383     -6180.11385383     0.990454604177     0.123208346987    0.0618011385383  2.14119832975e-10                  0 
                   8              8e-12     -7060.23376668     -7060.23376668     0.987543488568     0.140617098678    0.0706023376668  1.68823843794e-10                  0 
                   9              9e-12     -7939.25578406     -7939.25578406     0.984250406781     0.157949228457    0.0793925578406  1.29737554033e-10                  0 
                  10              1e-11     -8817.04485051     -8817.04485051     0.980577662044     0.175195379223    0.0881704485051  9.54598622371e-11                  0 
                  11            1.1e-11     -9693.46667372     -9693.46667372     0.976527819653     0.192346270992    0.0969346667372   6.8203664938e-11                  0 
                  12            1.2e-11     -10568.3878059     -10568.3878059     0.972103704014      0.20939270907     0.105683878059  2.55802046212e-11                  0 
                  13            1.3e-11     -11441.6757241     -11441.6757241     0.967308395458     0.226325592134     0.114416757241  4.24903445762e-11                  0 
                  14            1.4e-11     -12313.1989093     -12313.1989093     0.962145226761     0.243135920142     0.123131989093   1.1004575029e-10                  0 
                  15            1.5e-11     -13182.8269239     -13182.8269239     0.956617779337     0.259814802093     0.131828269239  1.49171119901e-10                  0 
                  16            1.6e-11     -14050.4304878     -14050.4304878     0.950729879159     0.276353463629     0.140504304878  1.62391544656e-10                  0 
                  17            1.7e-11     -14915.8815534     -14915.8815534     0.944485592463     0.292743254473     0.149158815534  1.69782965465e-10                  0 
                  18            1.8e-11     -15779.0533785     -15779.0533785     0.937889221211     0.308975655706     0.157790533785      1.8196189e-10                  0 
