#               time              E_DMI            E_Demag  E_UniformExchange           E_Zeeman            E_total           Zeeman_x           Zeeman_y           Zeeman_z                m_x                m_y                m_z            m_error          real_time          rhs_evals               step 
#                <s>                <J>                <J>                <J>                <J>                <J>                 <>                 <>                 <>                 <>                 <>                 <>                 <>                <s>                 <>                 <> 
                   0                  0  6.96312370431e-17          1.664e-17   6.6184279265e-17  1.52455516308e-16                  0                  0             400000                  0                  0    -0.938045289677                  0       1473891700.5                  0                  0 
   3.33333333333e-11 -1.22919123327e-17  5.32072995934e-17  1.28135374575e-17  4.92945894356e-17  1.03023514154e-16                  0                  0             400000   5.0385409685e-05  7.64109967872e-07     -0.69866376034  8.05004301374e-06      1473891721.16                557                  1 
   6.66666666667e-11 -1.02101770348e-16  1.96140736136e-17  8.96975598792e-17 -7.86244512434e-18 -6.52581979639e-19                  0                  0             400000   0.00201333494416   0.00268424367852     0.111436276048  0.000518774975385      1473891736.27                865                  2 
               1e-10 -1.15525646603e-16  2.12023232941e-17  7.93624309692e-17 -1.55885755672e-17 -3.05494679064e-17                  0                  0             400000    0.0169118966395  -0.00816263009864     0.220940532192  2.40484784541e-05       1473891754.8               1327                  3 
   1.33333333333e-10 -1.11666387357e-16  2.19618528486e-17  6.80879833541e-17 -1.60151722922e-17 -3.76317234465e-17                  0                  0             400000   0.00839824109915   -0.0142646278746     0.226986787481  1.42536705137e-05      1473891771.37               1697                  4 
   1.66666666667e-10 -1.09553858609e-16  2.24360373857e-17  6.30827037215e-17 -1.64088226235e-17 -4.04439401251e-17                  0                  0             400000    0.0139650892737   -0.0156484348509     0.232566085814  1.17856990016e-05      1473891781.74               1877                  5 
               2e-10 -1.09082965458e-16  2.26181438629e-17  6.16253816055e-17 -1.65186361093e-17 -4.13580760993e-17                  0                  0             400000    0.0119881760099  -0.00980341104562     0.234122498067  3.92215533829e-07      1473891787.25               1920                  6 
   2.33333333333e-10 -1.09633863116e-16  2.27471044917e-17   6.1389584818e-17 -1.63367289215e-17 -4.18339027281e-17                  0                  0             400000    0.0114493928425  -0.00465301604798     0.231544284892  5.27667017636e-07      1473891791.92               1942                  7 
   2.66666666667e-10 -1.10225763932e-16  2.28723447759e-17  6.14099849906e-17 -1.61438634886e-17 -4.20872976538e-17                  0                  0             400000    0.0122337934794  -0.00150788085613     0.228810757945   3.1366860862e-06      1473891796.58               1960                  8 
               3e-10 -1.10312817418e-16  2.29230938928e-17  6.12184669169e-17 -1.60786627508e-17 -4.22499193592e-17                  0                  0             400000    0.0141673298851  0.000194577753399     0.227886652619  2.27994051638e-07      1473891800.68               1973                  9 
   3.33333333333e-10  -1.1013792689e-16  2.29047363619e-17  6.09318115054e-17 -1.60918254353e-17 -4.23932044581e-17                  0                  0             400000    0.0159725438775   0.00203817266827     0.228073210429  2.46885479172e-06      1473891804.84               1982                 10 
   3.66666666667e-10 -1.09958474375e-16   2.2859979435e-17  6.06829443308e-17 -1.61203729152e-17 -4.25359235242e-17                  0                  0             400000    0.0163895983306   0.00454650422238     0.228477820547  3.84778696194e-06      1473891809.57               1991                 11 
               4e-10 -1.09874610465e-16  2.28175168933e-17  6.05226096914e-17 -1.61390051302e-17 -4.26734890102e-17                  0                  0             400000    0.0148623055352    0.0079756905893     0.228741899294  2.90548284776e-06      1473891814.07               2000                 12 
   4.33333333333e-10 -1.09893346383e-16  2.27905176443e-17  6.04499371487e-17 -1.61446712031e-17 -4.27975627935e-17                  0                  0             400000    0.0114625586053    0.0118511883395     0.228822205872  3.08812449823e-06      1473891818.28               2009                 13 
   4.66666666667e-10 -1.09985393724e-16  2.27786064465e-17  6.04431976456e-17 -1.61412362635e-17 -4.29048258956e-17                  0                  0             400000    0.0071288447123    0.0144826488548     0.228773521669  2.38413031317e-07      1473891821.81               2017                 14 
               5e-10 -1.10116813877e-16  2.27773202424e-17  6.04720934442e-17 -1.61289039128e-17  -4.2996304103e-17                  0                  0             400000   0.00303158579393    0.0146130062101     0.228598732374  5.95070014375e-07      1473891825.95               2026                 15 
