#               time           E_Zeeman            E_total                m_x                m_y                m_z            m_error 
#                <s>                <J>                <J>                 <>                 <>                 <>                 <> 
                   0                 -0                  0                  1                  0                  0                  0 
               1e-11     -2187.76963538     -2187.76963538     0.975922408954     0.217018036316    0.0218776963538   4.9917712186e-09 
               2e-11     -4373.44601135     -4373.44601135     0.904894595976     0.423382875614    0.0437344601135  3.90407584039e-09 
               3e-11     -6554.94389066     -6554.94389066     0.790468864199     0.608984597131    0.0655494389066  3.12406511771e-09 
               4e-11     -8730.19389373     -8730.19389373     0.638360181923     0.764770974839    0.0873019389373  2.81853262951e-09 
               5e-11     -10897.1504458     -10897.1504458     0.456149681201     0.883205906927     0.108971504458  2.76259526366e-09 
               6e-11     -13053.7993398     -13053.7993398     0.252892178899     0.958647679104     0.130537993398  2.74012623702e-09 
               7e-11     -15198.1651061     -15198.1651061    0.0386489337281     0.987627375191     0.151981651061  2.71806710472e-09 
               8e-11     -17328.3180761     -17328.3180761    -0.176029290548      0.96901322111     0.173283180761  2.72433509085e-09 
               9e-11     -19442.3810796     -19442.3810796    -0.380641246075     0.904052884614     0.194423810796  2.70139510761e-09 
               1e-10     -21538.5357445     -21538.5357445    -0.565267706467     0.796292385037     0.215385357445   2.6779968243e-09 
             1.1e-10     -23615.0283421     -23615.0283421    -0.721069448694     0.651376917378     0.236150283421  2.65395727617e-09 
             1.2e-10     -25670.1751489     -25670.1751489    -0.840724825673     0.476745186682     0.256701751489   2.6275425169e-09 
             1.3e-10      -27702.367295      -27702.367295    -0.918784561732     0.281234436999      0.27702367295  2.59710253303e-09 
             1.4e-10     -29710.0750732     -29710.0750732    -0.951926101175     0.074617938137     0.297100750732  2.56195509252e-09 
             1.5e-10     -31691.8516951     -31691.8516951    -0.939095439492    -0.132899977368     0.316918516951  2.57732546416e-09 
             1.6e-10     -33646.3364639     -33646.3364639    -0.881530542025    -0.331204321601     0.336463364639  2.54272625178e-09 
             1.7e-10     -35572.2574046     -35572.2574046    -0.782666851179    -0.510777882622     0.355722574046  2.50233966881e-09 
             1.8e-10     -37468.4333015     -37468.4333015    -0.647931647124    -0.663171340094     0.374684333015  2.46352138689e-09 
             1.9e-10     -39333.7751777     -39333.7751777     -0.48443980727    -0.781411211407     0.393337751777  2.42361153369e-09 
               2e-10     -41167.2872232     -41167.2872232    -0.300608504851    -0.860325501376     0.411672872232  2.38050590351e-09 
             2.1e-10     -42968.0671915     -42968.0671915    -0.105712334791    -0.896771664235     0.429680671915  2.34036423574e-09 
             2.2e-10     -44735.3060942     -44735.3060942    0.0905969356873    -0.889756946336     0.447353060942  5.27886201418e-09 
             2.3e-10     -46468.2884389     -46468.2884389     0.278780441249    -0.840447068235     0.464682884389  4.01398458916e-09 
             2.4e-10     -48166.3896893     -48166.3896893      0.44988660746    -0.752065093024     0.481663896893  1.33558536453e-08 
             2.5e-10     -49829.0770202     -49829.0770202     0.595985783604    -0.629688204075     0.498290770202  9.86051884588e-09 
             2.6e-10     -51455.9036501     -51455.9036501     0.710543607353    -0.479954956285     0.514559036501   9.9712775814e-09 
             2.7e-10      -53046.510413      -53046.510413     0.788715439203    -0.310700352841      0.53046510413  1.00036650075e-08 
             2.8e-10     -54600.6216449     -54600.6216449     0.827548644296    -0.130539014367     0.546006216449  9.32580956903e-09 
             2.9e-10     -56118.0422058     -56118.0422058     0.826084701484    0.0515808738761     0.561180422058  6.66124322368e-09 
               3e-10     -57598.6538774     -57598.6538774     0.785358478332     0.226829347113     0.575986538774  7.47542061585e-09 
             3.1e-10     -59042.4150803     -59042.4150803     0.708297440023      0.38692900314     0.590424150803  2.56713705848e-09 
             3.2e-10      -60449.353181      -60449.353181     0.599528586956     0.524550321072      0.60449353181  2.04258554515e-09 
             3.3e-10     -61819.5636612     -61819.5636612     0.465105515198     0.633648965111     0.618195636612  1.80997150601e-09 
             3.4e-10      -63153.205338      -63153.205338     0.312171614211     0.709729628566      0.63153205338  1.58502933001e-09 
             3.5e-10     -64450.4968031     -64450.4968031      0.14857831675     0.750025217401     0.644504968031  1.61856816838e-09 
             3.6e-10       -65711.71271       -65711.71271   -0.0175210367134     0.753584824848       0.6571171271  3.15135528783e-09 
             3.7e-10     -66937.1796554     -66937.1796554    -0.178080544655     0.721268821495     0.669371796554  2.36678920906e-09 
             3.8e-10     -68127.2722913     -68127.2722913    -0.325553624519     0.655654108715     0.681272722913  2.15130380177e-09 
             3.9e-10     -69282.4099878     -69282.4099878    -0.453248320611     0.560857132072     0.692824099878  1.94749016913e-09 
               4e-10     -70403.0527611     -70403.0527611    -0.555629407789     0.442286076912     0.704030527611  1.78032588671e-09 
             4.1e-10     -71489.6976239     -71489.6976239    -0.628553899148     0.306336915809     0.714896976239  1.62151070349e-09 
             4.2e-10     -72542.8750206     -72542.8750206    -0.669430376094     0.160050294084     0.725428750206  1.65067159941e-09 
             4.3e-10     -73563.1454026     -73563.1454026    -0.677296720163     0.010747632678     0.735631454026  2.54786225451e-09 
             4.4e-10     -74551.0957083     -74551.0957083    -0.652815117017    -0.134334771922     0.745510957083  2.45805198418e-09 
             4.5e-10     -75507.3361056     -75507.3361056     -0.59818735704    -0.268395419371     0.755073361056  2.08142525437e-09 
             4.6e-10     -76432.4970983     -76432.4970983    -0.516997380415    -0.385384280627     0.764324970983  1.81104031771e-09 
             4.7e-10     -77327.2264638     -77327.2264638    -0.413991361128    -0.480271958774     0.773272264638  1.63352742444e-09 
             4.8e-10     -78192.1864189     -78192.1864189    -0.294808372891    -0.549259700456     0.781921864189  1.51602719267e-09 
             4.9e-10     -79028.0509599     -79028.0509599     -0.16567666381    -0.589921991625     0.790280509599  1.50693058032e-09 
               5e-10     -79835.5033833     -79835.5033833   -0.0330917187689    -0.601277119174     0.798355033833  2.03020400491e-09 
             5.1e-10     -80615.2338522     -80615.2338522    0.0965074119014    -0.583784825455     0.806152338522  2.05576589085e-09 
             5.2e-10     -81367.9371421     -81367.9371421     0.217047563975    -0.539273800483     0.813679371421  1.80482495615e-09 
             5.3e-10     -82094.3107228     -82094.3107228     0.323102040582     -0.47080514322     0.820943107228  1.59169322167e-09 
             5.4e-10      -82795.052798      -82795.052798     0.410129655872    -0.382480830531      0.82795052798  1.43358291904e-09 
             5.5e-10     -83470.8605198     -83470.8605198     0.474662093426    -0.279208593695     0.834708605198  1.34002386964e-09 
             5.6e-10     -84122.4283645     -84122.4283645      0.51443236313    -0.166436311395     0.841224283645  1.30953303756e-09 
             5.7e-10     -84750.4466609     -84750.4466609     0.528440306348   -0.0498700160198     0.847504466609  1.60289337359e-09 
             5.8e-10     -85355.6002027     -85355.6002027     0.516954344638    0.0648101351365     0.853556002027  1.67339397894e-09 
             5.9e-10     -85938.5669696     -85938.5669696     0.481451804393     0.172222030317     0.859385669696   1.5203208692e-09 
               6e-10     -86500.0171037     -86500.0171037     0.424503072627      0.26752914368     0.865000171037  1.35857114447e-09 
             6.1e-10     -87040.6118938     -87040.6118938     0.349607366837     0.346652383101     0.870406118938  1.22993681906e-09 
             6.2e-10     -87561.0028731     -87561.0028731     0.260989947549     0.406437353818     0.875610028731  1.14246001548e-09 
             6.3e-10     -88061.8310355     -88061.8310355     0.163372092392     0.444770669766     0.880618310355  1.10572229151e-09 
             6.4e-10     -88543.7261564     -88543.7261564    0.0617260224485     0.460641673606     0.885437261564  1.26167953862e-09 
             6.5e-10      -89007.306199      -89007.306199   -0.0389727862586     0.454148724824      0.89007306199  9.96288607169e-10 
             6.6e-10     -89453.1766163     -89453.1766163    -0.133983841211     0.426451921558     0.894531766163  4.10950973251e-09 
             6.7e-10     -89881.9305986     -89881.9305986    -0.219019314612     0.379676687807     0.898819305986  3.87422682824e-09 
             6.8e-10     -90294.1476209     -90294.1476209    -0.290431469131     0.316774754212     0.902941476209   3.6871423692e-09 
             6.9e-10     -90690.3940112     -90690.3940112    -0.345362031238      0.24135099745     0.906903940112  3.40985317759e-09 
               7e-10     -91071.2224686     -91071.2224686    -0.381847829059     0.157465782744     0.910712224686  3.25765969755e-09 
             7.1e-10     -91437.1719149     -91437.1719149    -0.398879375406    0.0694233109812     0.914371719149  3.49407258682e-09 
             7.2e-10     -91788.7674102     -91788.7674102    -0.396411472173   -0.0184433047482     0.917887674102  3.48559425767e-09 
             7.3e-10     -92126.5201888     -92126.5201888    -0.375327258986     -0.10197978542     0.921265201888   9.0637719552e-11 
             7.4e-10      -92450.926519      -92450.926519    -0.337359294786     -0.17740158094      0.92450926519  1.93942195637e-09 
             7.5e-10     -92762.4701579     -92762.4701579    -0.284973243279    -0.241459434742     0.927624701579  2.50491538623e-09 
             7.6e-10     -93061.6202358     -93061.6202358    -0.221221192622    -0.291572739983     0.930616202358  2.57066190557e-09 
             7.7e-10     -93348.8321372     -93348.8321372    -0.149572909777    -0.325925595126     0.933488321372  2.48201059705e-09 
             7.8e-10     -93624.5476147     -93624.5476147   -0.0737339845866    -0.343522492295     0.936245476147  2.59948307324e-09 
             7.9e-10     -93889.1949295     -93889.1949295   0.00253990194522    -0.344202630359     0.938891949295  2.85039136738e-09 
               8e-10     -94143.1889648     -94143.1889648    0.0756235567699    -0.328613864652     0.941431889648  1.38698941221e-09 
             8.1e-10     -94386.9313592     -94386.9313592     0.142189275356    -0.298149168956     0.943869313592   9.4250429683e-10 
             8.2e-10     -94620.8109317     -94620.8109317     0.199352867366    -0.254850236048     0.946208109317  2.66080346645e-09 
             8.3e-10     -94845.2039679     -94845.2039679     0.244792607335    -0.201284132861     0.948452039679  2.84093559788e-09 
             8.4e-10     -95060.4740254     -95060.4740254     0.276836530454    -0.140399991642     0.950604740254  2.78001988097e-09 
             8.5e-10     -95266.9725651     -95266.9725651      0.29451525282    -0.075373433767     0.952669725651  2.58314192259e-09 
             8.6e-10     -95465.0391196     -95465.0391196     0.297579213825  -0.00944661524567     0.954650391196  1.77460190987e-09 
             8.7e-10     -95655.0013987     -95655.0013987      0.28648099366    0.0542283036079     0.956550013987  1.05064712486e-09 
             8.8e-10     -95837.1758928     -95837.1758928     0.262324995811     0.112734941049     0.958371758928  6.64823085472e-10 
             8.9e-10     -96011.8679557     -96011.8679557     0.226788263194     0.163521263608     0.960118679557   5.9524740692e-10 
               9e-10     -96179.3720718     -96179.3720718     0.182017372724     0.204505526553     0.961793720718   2.2113031406e-09 
             9.1e-10     -96339.9723581     -96339.9723581     0.130507330492     0.234155513025     0.963399723581  2.50634135668e-09 
             9.2e-10      -96493.942525      -96493.942525    0.0749689416415     0.251538385568      0.96493942525  1.98617233771e-09 
             9.3e-10     -96641.5462561     -96641.5462561    0.0181914719925      0.25634004931     0.966415462561  1.59460611382e-09 
             9.4e-10     -96783.0376274     -96783.0376274   -0.0370926987757     0.248854360066     0.967830376274  9.67924851381e-10 
             9.5e-10     -96918.6613211     -96918.6613211   -0.0883350802706      0.22994395062     0.969186613211  9.69306634957e-10 
             9.6e-10     -97048.6530528     -97048.6530528    -0.133284065644     0.200975741679     0.970486530528  1.58330226707e-09 
             9.7e-10     -97173.2395851     -97173.2395851    -0.170079139654     0.163735252525     0.971732395851  2.09437511778e-09 
             9.8e-10     -97292.6392165     -97292.6392165    -0.197322606824     0.120324647041     0.972926392165  1.78935155581e-09 
             9.9e-10     -97407.0618352     -97407.0618352    -0.214126402979    0.0730500568136     0.974070618352  1.60461666177e-09 
               1e-09     -97516.7094131     -97516.7094131    -0.220132806683    0.0243039701896     0.975167094131  1.48903755992e-09 
